path	status code	hunks	area	disposition
deploy/charts/buzz-push-gateway/values-production.yaml	UU	2	root-and-ci	accepted-upstream
deploy/charts/buzz-push-gateway/values.yaml	UU	1	root-and-ci	ported
desktop/src-tauri/src/commands/agents.rs	UU	13	desktop-other	ported
desktop/src-tauri/src/commands/messages.rs	UU	9	desktop-other	ported
desktop/src-tauri/src/commands/personas/inbound.rs	UU	12	desktop-other	ported
desktop/src-tauri/src/commands/workflows.rs	UU	9	desktop-other	accepted-fork
desktop/src-tauri/src/deep_link.rs	UU	8	desktop-other	ported
desktop/src-tauri/src/huddle/mod.rs	UU	7	desktop-other	ported
desktop/src-tauri/src/lib.rs	UU	6	desktop-other	ported
desktop/src-tauri/src/managed_agents/discovery/presets.rs	UU	6	desktop-other	accepted-upstream
desktop/src-tauri/src/managed_agents/runtime.rs	UU	6	desktop-other	ported
desktop/src-tauri/src/managed_agents/spawn_snapshot.rs	UU	6	desktop-other	accepted-upstream
desktop/src/features/agents/activeAgentTurnsStore.test.mjs	UU	3	desktop-agents	ported
desktop/src/features/agents/activeAgentTurnsStore.ts	UU	2	desktop-agents	ported
desktop/src/features/agents/channelAgents.ts	UU	3	desktop-agents	ported
desktop/src/features/agents/hooks.ts	UU	6	desktop-agents	accepted-upstream
desktop/src/features/agents/lib/agentAutocompleteEligibility.test.mjs	UU	2	desktop-agents	ported
desktop/src/features/agents/lib/agentAutocompleteEligibility.ts	UU	2	desktop-agents	ported
desktop/src/features/agents/lib/managedAgentControlActions.ts	UU	1	desktop-agents	ported
desktop/src/features/agents/lib/usePersonaCatalogRelay.ts	UU	2	desktop-agents	accepted-upstream
desktop/src/features/agents/lib/usePersonaSync.test.mjs	UU	1	desktop-agents	accepted-fork
desktop/src/features/agents/lib/usePersonaSync.ts	UU	9	desktop-agents	accepted-fork
desktop/src/features/agents/observerRelayStore.ts	UU	10	desktop-agents	ported
desktop/src/features/agents/ui/AgentDefinitionDialog.tsx	UU	1	desktop-agents	ported
desktop/src/features/agents/ui/AgentDefinitionDialogFooter.tsx	UU	2	desktop-agents	ported
desktop/src/features/agents/ui/AgentsView.tsx	UU	1	desktop-agents	ported
desktop/src/features/agents/ui/agentSessionTranscript.ts	UU	1	desktop-agents	accepted-upstream
desktop/src/features/agents/ui/agentSessionTranscriptHelpers.test.mjs	UU	1	desktop-agents	accepted-upstream
desktop/src/features/agents/ui/catalogOwnerLabel.test.mjs	UU	2	desktop-agents	accepted-fork
desktop/src/features/agents/ui/useManagedAgentActions.ts	UU	1	desktop-agents	accepted-upstream
desktop/src/features/agents/useAgentManagement.ts	UU	1	desktop-agents	ported
desktop/src/features/channels/readState/readStateManager.ts	UU	7	desktop-other	ported
desktop/src/features/channels/ui/ChannelManagementSheet.tsx	UU	9	desktop-other	accepted-upstream
